customer_id,age,annual_income,bmi,credit_score,years_employed,education_level,employment_status,region,marital_status,loan_purpose,customer_satisfaction,risk_category,loan_default
1001,43.960569836134795,44299.20136438399,30.812167047776786,668.9540755367877,2.9639193177787266,High School,Full-time,South,Single,Education,Satisfied,Medium,0
1002,36.340828385945784,52395.37786004933,28.20254046371012,606.0371527900676,1.8533566306388831,Associate,Full-time,South,Single,Home,Neutral,High,0
1003,45.77226245720831,78604.30432582738,24.307071446576618,793.3402998454595,3.2967257380213506,Bachelor,Full-time,South,Single,Personal,Neutral,Medium,0
1004,56.2763582768963,28719.17206249605,28.275157990854186,651.7409663730579,1.9509449353436423,High School,Unemployed,East,Married,Personal,Very Dissatisfied,High,0
1005,35.19015950331997,25903.531196056832,21.72980432227821,542.9932922418534,9.13085703173292,High School,Self-employed,West,Widowed,Car,Neutral,Medium,0
1006,,53255.283104487586,27.051295587444546,645.5107861284694,1.7667859516808273,Bachelor,Unemployed,West,Divorced,Education,Dissatisfied,Low,1
1007,56.9505537860887,41980.46071208322,27.142769616950325,555.8491023443746,5.390573638781251,Bachelor,Full-time,South,Single,Medical,Neutral,Medium,1
1008,47.20921674983491,85479.56313248238,24.631091974044857,692.606667414122,0.736599941188994,Bachelor,Full-time,East,Married,Car,Satisfied,Low,0
1009,32.366307368780575,,22.323571472046208,676.1852627905537,5.805628208975674,Bachelor,Full-time,South,Divorced,Business,Neutral,Low,0
1010,44.51072052303158,68406.80647853311,26.85124289107397,736.2055667997441,12.226490343943224,Associate,Full-time,West,Single,Home,Satisfied,Low,0
1011,32.43898768625046,46042.08701002538,26.22509428349551,578.820638747489,4.689910931066562,High School,Self-employed,Central,Divorced,Education,Satisfied,Medium,1
1012,32.411242957156915,,24.170889605401953,653.0607286605332,4.1032596216700785,Associate,Full-time,East,Married,Personal,Satisfied,Low,0
1013,40.90354725879241,29653.96763166172,21.33092764909625,527.1480384116028,16.236153768067823,Bachelor,Full-time,East,Divorced,Education,Very Satisfied,Low,1
1014,18.0,70720.15579218321,26.562385246677337,713.1345303732243,4.936202879325115,Master,Part-time,South,Divorced,,,Low,0
1015,18.0,22883.83414578387,24.183388175816972,696.698406239611,1.5024887732356407,High School,Full-time,Central,Married,Medical,Neutral,Low,1
1016,31.252549649108328,25743.03523913025,21.326711897815333,694.6224518924814,1.7293181571447214,Bachelor,Retired,West,Married,Business,Satisfied,Low,0
1017,25.846026555986914,34050.24955891704,26.717649053790556,650.1457128221247,6.10909964742742,Associate,Full-time,North,Single,Business,Satisfied,Low,0
1018,41.77096799114329,130299.90082321956,34.54152736027693,687.3295601709912,6.648371678888633,Bachelor,Part-time,West,Single,Education,Satisfied,Low,0
1019,27.103711093745467,57430.83644039113,24.66586167046461,794.3905197477736,1.8084103778365703,High School,Full-time,West,Married,Business,Very Dissatisfied,Low,0
1020,21.052355583976503,34396.60542110779,33.98888270621011,624.3415168662187,2.118226692148139,Associate,Retired,Central,Single,Personal,Satisfied,Low,1
1021,55.587785227058646,61369.10401617654,37.07165857365048,662.4780665339076,23.58414622337706,Master,Full-time,East,Single,Medical,Very Satisfied,High,0
1022,35.29068439416157,50065.5651725965,21.732905488111626,552.2486330736731,0.5376618598243866,Bachelor,Part-time,West,Single,Personal,Neutral,Medium,1
1023,38.81033845625509,36490.81917634429,26.54522104099482,571.8565134561501,2.592987302345543,Bachelor,Full-time,East,Divorced,Business,Very Satisfied,Medium,0
1024,20.903021765438517,21205.644739734078,37.01865958908155,658.8031963783976,0.32241277990495526,High School,Self-employed,Central,Single,Home,Neutral,Very High,0
1025,31.467407305697808,116206.66627233416,25.89460019295478,749.3540192031717,8.604036727599937,,Full-time,Central,Single,Personal,Dissatisfied,Low,0
1026,39.33107107651839,55597.35333549188,26.684060728827,626.9347258173585,0.48445926414932533,Associate,Full-time,South,Married,Business,Neutral,Low,0
1027,24.188077070932366,180636.6843285784,18.14997262812554,628.7675123619089,5.604402318532895,Master,Unemployed,North,Married,Personal,Satisfied,High,0
1028,42.508376220148065,86179.96218032038,23.84169049840166,613.3803279946063,0.290706728520491,PhD,Retired,Central,Single,Home,Satisfied,Medium,0
1029,30.79233572097434,68240.38574072858,29.277943423344684,601.8718996240109,5.586759484335008,Associate,Full-time,Central,Widowed,Medical,Satisfied,Very High,0
1030,34.49967500248068,37755.15882022613,38.64641321475625,676.5474310137939,9.258724160390786,Associate,Self-employed,East,Married,Home,Satisfied,Very High,0
1031,30.77952065324724,25407.3215554695,25.519965832641546,515.246811933922,2.5443171416898207,Master,Full-time,Central,Married,Car,Very Dissatisfied,Low,0
1032,60.22733821410725,43017.462173852145,18.186868388743225,765.2845619000054,3.6920460606139427,Associate,Self-employed,West,Single,Business,Neutral,Very High,0
1033,37.83803330314479,,19.473754046133458,590.1119931683486,2.56699247051124,Bachelor,Part-time,South,Married,Business,,Very High,0
1034,25.307468852529198,,26.321051570308516,,1.7868670721525954,High School,Full-time,South,Divorced,Car,Very Satisfied,Medium,0
1035,47.870538945238266,130560.43455928346,32.38603399026125,535.7001262345511,8.129447519630409,Bachelor,Unemployed,,Single,Business,Neutral,Very High,0
1036,23.349876200347733,41917.2468407677,29.686768414376978,710.1956117491596,1.5872888306823323,Bachelor,Self-employed,Central,Married,Car,Very Satisfied,Low,0
1037,40.50636314005706,86395.82081579538,28.80127931755063,710.4750147033047,,,Full-time,North,Single,Home,Neutral,Medium,0
